CAR_ID,CAR_NAME,CAR_MAKER,CAR_MAKE_YEAR,CAR_PRICE
H546426133,Ramcharger,Dodge,1993,38691
V805961125,B-Series Plus,Mazda,2000,41539
E423302612,Celica,Toyota,1983,39472
N108677844,Integra,Acura,1995,77963
O474677895,240SX,Nissan,1996,92781
Z537731239,Ram 2500,Dodge,2010,69940
J572171587,Range Rover,Land Rover,1999,54401
C381179644,Boxster,Porsche,2008,86953
D713465797,RAV4,Toyota,1997,37417
K456773174,F150,Ford,1998,63998
L004773321,CR-Z,Honda,2012,47777
Y427773123,CTS,Cadillac,2008,6625
X258798060,Montero Sport,Mitsubishi,2000,12834
Y439076878,Yukon XL 1500,GMC,2006,91629
Z573767029,Safari,GMC,2005,44648
M451843021,LeMans,Pontiac,1965,47097
Q479347540,B-Series Plus,Mazda,2002,23849
M211227947,EXP,Ford,1988,92542
E025384828,Grand Prix,Pontiac,1994,42203
K480847414,Astro,Chevrolet,1994,66715
B924979543,G-Series G20,Chevrolet,1994,69331
F302144358,Sable,Mercury,2003,38654
S239366203,Journey,Dodge,2009,50400
J206787695,Passat,Volkswagen,1985,71796
F707428726,Silverado 1500,Chevrolet,2000,51820
Y808422813,Canyon,GMC,2012,82466
N500737873,Contour,Ford,1995,88494
T272394603,RX-7,Mazda,1989,21524
X026422339,323,Mazda,1994,58275
F739420249,Navigator,Lincoln,2007,45199
I721757765,F350,Ford,2005,13602
V341363800,Sportvan G30,Chevrolet,1994,51745
K373376302,Cabriolet,Volkswagen,2001,22530
P414552038,Mountaineer,Mercury,2004,4184
O515752666,Grand Marquis,Mercury,2000,35196
D628564191,CL,Acura,2003,19479
E494421379,Caprice,Chevrolet,1996,99424
C133867201,Bonneville,Pontiac,1992,36489
J344233673,SLK-Class,Mercedes-Benz,1997,24947
U546786975,Sierra 1500,GMC,2013,38715
G421717029,A3,Audi,2010,28845
X557763794,CTS,Cadillac,2012,9316
S628919592,Terrain,GMC,2011,52968
Q880755349,Corolla,Toyota,1995,77403
J209440368,Nitro,Dodge,2011,11433
Q975849127,Impreza WRX,Subaru,2010,26642
R018337483,Ranger,Ford,1993,73525
U996358398,Altima,Nissan,2002,73700
V279855121,Raider,Mitsubishi,2007,77453
Q248801820,Civic,Honda,2005,49821
A062987691,GranSport,Maserati,2005,92033
U734644427,525,BMW,2005,23802
L434499497,Terraza,Buick,2006,57353
Z861012766,Nubira,Daewoo,2001,94737
A998878272,Canyon,GMC,2011,82724
D620015447,IS-F,Lexus,2009,65625
H318783894,VehiCROSS,Isuzu,2001,67196
S644645875,Land Cruiser,Toyota,2003,46996
Z474376624,Crown Victoria,Ford,1993,23753
Q057003555,Tiguan,Volkswagen,2010,28288
J106854490,911,Porsche,1996,45192
W654895768,Fiesta,Ford,2013,15707
Q967012953,Maxima,Nissan,2004,84363
M710155897,Grand Caravan,Dodge,2005,44356
J583993812,Sportvan G20,Chevrolet,1992,74707
V811850349,Dakota,Ram,2011,86691
E653453960,Azure,Bentley,2009,91519
A698270462,Tacoma,Toyota,1998,90177
E321705443,Wrangler,Jeep,1994,43617
O899577195,Escort,Ford,1986,62524
O238732776,Daewoo Lacetti,Suzuki,2007,27226
A565282223,Mariner,Mercury,2011,87075
E646754083,Yukon,GMC,2010,27885
B915091722,Ram Van 1500,Dodge,2003,58427
O438510567,Range Rover,Land Rover,2003,30275
X944544934,Colt,Plymouth,1992,30959
W901851381,GX,Lexus,2011,9459
Z589790626,Malibu,Chevrolet,2007,36697
S585031662,Accord,Honda,1985,77007
X807498927,Savana 2500,GMC,1997,5037
P367772639,Accord,Honda,1992,63925
E390721603,Journey,Dodge,2011,71820
V970363684,Ram Wagon B150,Dodge,1992,20950
R919091085,Cherokee,Jeep,1999,86326
T563362602,Tacoma,Toyota,1996,38310
Y243350996,Scirocco,Volkswagen,1986,28745
W817845826,Accent,Hyundai,2010,65060
D411016318,Tempo,Ford,1985,8167
G775348777,Corvette,Chevrolet,1986,61802
Z555775403,Viper,Dodge,1999,64117
S944798077,Diablo,Lamborghini,1992,63520
J469084149,Cayenne,Porsche,2011,7540
U737050020,Bronco II,Ford,1988,21512
S292208597,612 Scaglietti,Ferrari,2010,1901
V723212746,Ranger,Ford,2001,64107
E512703273,Ram Van 2500,Dodge,1998,33778
A062977843,XL7,Suzuki,2007,19436
M081760978,GranSport,Maserati,2005,84741
Y677598346,SLS AMG,Mercedes-Benz,2011,62431
L261219705,Prius,Toyota,2007,27497
L295524610,Genesis,Hyundai,2010,17943
D835323313,Taurus,Ford,1999,25660
O791011187,Achieva,Oldsmobile,1993,60229
S121326937,Express 3500,Chevrolet,2005,66510
Y210310593,Sonata,Hyundai,2007,73094
K778924684,H2,Hummer,2004,23559
S972673787,Sidekick,Suzuki,1993,16748
M737750409,Santa Fe,Hyundai,2005,94364
L734046441,Continental GTC,Bentley,2012,31171
T049709082,Avalon,Toyota,1995,29245
R155341805,F350,Ford,1997,84265
R530629139,Justy,Subaru,1988,44633
G097834963,DB9,Aston Martin,2006,91525
D416264196,760,BMW,2003,61815
T942942169,G5,Pontiac,2007,18979
Z628686926,Viper,Dodge,1993,86059
Z371616742,4Runner,Toyota,1992,34615
D006892228,Sienna,Toyota,2007,40717
Q580534896,LeSabre,Buick,1989,71450
Q867538273,M-Class,Mercedes-Benz,2002,85258
R987770609,Corvette,Chevrolet,2010,96947
G524794022,TSX,Acura,2004,57246
U951399961,Jimmy,GMC,1997,12651
I356017733,M3,BMW,2003,49173
X221874984,S60,Volvo,2002,88864
M107386966,2500,GMC,1996,85789
P870300849,ES,Lexus,2005,28375
P790098233,Ram Van 1500,Dodge,2001,55963
H224196768,MR2,Toyota,1992,39033
L466106147,HS,Lexus,2011,27565
O174109278,A8,Audi,2010,31670
N174596656,Xterra,Nissan,2012,70745
L791971276,Suburban 2500,Chevrolet,1997,72155
U041903998,Avenger,Dodge,2011,17716
N879468526,98,Oldsmobile,1994,35858
D500320894,Silverado 1500,Chevrolet,2011,63819
B670224336,Aspen,Chrysler,2007,3536
C486846826,A4,Audi,2003,79185
K034781696,MDX,Acura,2006,16112
K859637464,Century,Buick,1988,21219
R562714748,Cube,Nissan,2011,55743
D660285694,Sonoma,GMC,1995,15640
H927836922,Sundance,Plymouth,1993,37920
E726793207,S40,Volvo,2008,19589
C327108626,M5,BMW,2003,88180
F231700517,Loyale,Subaru,1993,68265
R197376143,3500,GMC,1997,63694
C634223951,XL-7,Suzuki,2002,40331
S529458173,Ram Van 3500,Dodge,2002,68390
Z236608869,F-Series,Ford,1993,55253
G566683705,E-Class,Mercedes-Benz,1988,65677
I931847503,Accord Crosstour,Honda,2010,12514
J171618351,Neon,Dodge,1998,10883
C275461518,Expedition,Ford,1997,98482
I251777466,1000,Pontiac,1984,15949
V450960099,80/90,Audi,1988,63245
N195409142,Versa,Nissan,2009,61528
