"CAR_ID","CAR_NAME","CAR_MAKE_YEAR","CAR_PRICE","CAR_MAKER_CODE"
V976503205,Silverado 3500,2003,13477,AM-3-689
B108966756,XLR,2004,7739,NO-0-531
W196158550,Cobalt,2007,31903,AM-3-689
X585073462,"7 Series",2008,5429,"8M-8-354"
U478759633,Ram 2500 Club,1995,46408,VT-2-774
Z843725805,DeVille,1995,19499,NO-0-531
B712590686,Continental,2007,41290,"0R-7-707"
D869691540,S10 Blazer,1993,27932,AM-3-689
C322478798,Truck,1990,29368,KS-8-136
Q812153880,Aurora,1996,55734,G1-1-795
V692936268,G,2002,4586,"25-0-342"
N026238331,Breeze,1996,19597,"1Z-6-878"
P344372248,Jetta,1984,41016,J6-5-677
V654023874,Montana,2004,27834,"6K-2-796"
Y679774316,SJ,1989,13693,"73-8-545"
K225206857,Solara,2001,6357,WC-4-695
R496337423,G35,2008,59757,"25-0-342"
S237498588,GranTurismo,2011,62424,"36-8-788"
B412319491,Uplander,2006,29626,AM-3-689
D355172214,Continental Mark VII,1992,54450,NH-4-742
X929913025,SVX,1994,5192,T4-7-348
H934506784,Corvette,1953,5072,AM-3-689
B596010585,Intrepid,1995,45021,VT-2-774
V009756390,Caliber,2008,14798,VT-2-774
E760464132,Prius,2002,7981,WC-4-695
G839876833,Range Rover,2001,26558,MK-1-473
U619940269,Titan,2012,9444,ZU-3-273
G527056299,Esprit,1995,9669,CX-4-798
L202517814,EXP,1984,45466,WS-5-427
X267098210,Crown Victoria,1993,20906,WS-5-427
U209091803,Prelude,2000,41205,EM-4-254
V975968065,SX4,2007,15849,"73-8-545"
W082186166,Escalade EXT,2006,19916,NO-0-531
G000681706,"525",2003,25314,"8M-8-354"
L711332597,Sunbird,1986,56052,"6K-2-796"
H279433746,Corvette,2000,31026,AM-3-689
C735796946,Continental GTC,2009,36136,"0R-7-707"
R426202523,Camry,1993,50418,WC-4-695
Y762384776,Envoy,2007,20246,BW-0-739
C354139451,Escalade,2005,56551,NO-0-531
V326909109,Legacy,2008,59913,T4-7-348
G494480897,EXP,1986,40618,WS-5-427
Q465337521,Electra,1988,3666,H3-5-417
S163228563,Outback,2008,50601,T4-7-348
E586883729,Terrain,2011,41114,BW-0-739
A859892361,Mystique,1997,4685,AC-9-820
I401554715,V70,2003,61274,"4C-1-283"
D071028054,Yaris,2011,1719,WC-4-695
O017734215,E-Series,2012,32341,WS-5-427
C674997938,LSS,1999,61190,G1-1-795
A530843068,Yukon XL 1500,2005,8370,BW-0-739
S114659795,Caliber,2012,12576,VT-2-774
E419877968,CX-7,2007,3098,YA-6-313
