SCHOLARSHIP_NO,STD_NO,MONEY
1,20233934,5889781
2,20209684,5781060
3,20226513,1264253
4,20249586,5206770
5,20247721,9352958
6,20246465,1402783
7,20244890,3418892
8,20208226,9110834
9,20208278,7012972
10,20207638,2421546
11,20206629,8933551
12,20211094,7985111
13,20242002,4901347
14,20244514,9397953
15,20224419,5753890
16,20244211,5280203
17,20221918,8868320
18,20209684,5084716
19,20204564,7556839
20,20218628,6830487
21,20231512,1025857
22,20225653,8823224
23,20244240,8883164
24,20221716,1563433
25,20212575,2234909
26,20235489,8495091
27,20211011,9727582
28,20245721,6712264
29,20226990,2883393
30,20247100,3584083
