CAR_SELL_NO,CAR_ID,CAR_SELL_EA,CAR_SELL_PRICE,CAR_SELL_DATE
1,P569221521,11,588951,2023-11-26
2,E439425680,8,742328,2023-08-18
3,V230132362,30,1554630,2023-08-08
4,Q766971885,26,908596,2023-01-10
5,A452880887,2,26234,2023-06-20
6,V976011513,4,353224,2023-12-20
7,B405089269,17,1631320,2023-02-25
8,U951547738,27,1615221,2023-08-25
9,I287499056,23,1974665,2023-05-16
10,B980619690,25,1521725,2023-10-05
11,Q753858224,23,2004841,2023-08-22
12,X889246355,28,1924468,2023-07-20
13,I856285533,29,2785160,2023-04-25
14,X131004086,1,59176,2023-02-15
15,C692656818,29,363283,2023-10-15
16,Z506577709,23,451743,2023-12-28
17,F480006937,14,1156106,2023-04-25
18,W215461434,26,2306746,2023-10-21
19,S513001278,15,971925,2023-12-03
20,Q186361741,26,1338948,2023-09-18
21,W976725699,14,973294,2023-07-08
22,Y182660926,15,935715,2023-01-08
23,W667463011,8,552904,2023-11-20
24,O458732744,21,1437324,2023-04-15
25,Z835518442,24,1603752,2023-11-13
26,P536025382,22,324478,2023-10-28
27,N392819870,9,858420,2023-05-13
28,C676921197,15,185265,2023-06-24
29,E455667323,15,540885,2023-04-07
30,C392903721,19,1847123,2023-11-14
31,C291173995,22,488224,2023-02-13
32,H905617007,14,1072568,2023-12-06
33,S720565277,23,1454543,2023-12-08
34,U828265421,24,1952520,2023-07-17
35,K648253971,24,2037072,2023-09-26
36,N335389271,11,1020305,2023-12-28
37,K956424091,18,459504,2023-12-19
38,H669884465,14,438312,2023-11-06
39,G440036261,15,960090,2023-03-16
40,H931881461,19,1522375,2023-04-06
41,Q794367626,30,1630680,2023-03-21
42,N101035737,16,1046544,2023-01-11
43,O985700236,18,1656378,2023-08-12
44,S668098910,5,92250,2023-05-01
45,I476126759,27,2310309,2023-11-20
46,E710199367,15,1384275,2023-10-21
47,R997976567,2,118652,2023-10-02
48,B211972168,1,69061,2023-07-07
49,D295292814,21,267372,2023-08-21
50,Z363405135,13,1274169,2023-12-13
51,V628891543,28,1352204,2023-11-25
52,H957734696,8,195776,2023-11-06
53,P993704205,22,541354,2023-09-20
54,B926164119,20,1733320,2023-04-26
55,X460676864,18,885582,2023-08-25
56,T394178361,17,294950,2023-04-13
57,U129684275,7,357504,2023-02-26
58,W177054398,4,389896,2023-02-15
59,T338673690,27,77841,2023-06-29
60,X592842496,28,1049076,2023-12-13
61,G683484616,9,297720,2023-08-12
62,A243637392,15,339120,2023-02-08
63,H870694072,6,131706,2023-09-01
64,T525001063,27,1758375,2023-06-09
65,V067743277,28,2773848,2023-03-24
66,G627197312,7,492688,2023-10-25
67,O271584345,4,385372,2023-05-09
68,U267427652,5,91860,2023-07-02
69,J430982474,18,580338,2023-07-06
70,N368048154,18,822888,2023-03-21
71,S207311845,2,189482,2023-12-09
72,N250087252,27,2119932,2023-02-05
