CAR_SELL_NO,CAR_ID,CAR_SELL_EA,CAR_SELL_PRICE,CAR_SELL_DATE
2860,C327108626,1,419576,2024-03-06
2861,F269340860,29,703626,2024-03-02
2862,X267098210,19,1109900,2023-10-29
2863,C913156248,36,566052,2024-05-02
2864,E393636788,39,651784,2024-07-25
2865,M614930813,46,743449,2024-06-27
2866,M273259450,15,495836,2024-01-15
2867,N026238331,27,951733,2024-07-24
2868,A160956704,39,616376,2023-11-09
2869,H410068328,46,844079,2024-07-03
2870,R640381254,22,389843,2023-11-10
2871,J459695717,22,1423875,2024-01-14
2872,E586883729,39,598841,2024-04-22
2873,Q308503382,44,422340,2024-03-11
2874,G068143645,43,431919,2024-04-09
2875,C164020842,45,1023750,2024-01-06
2876,O438510567,2,1002706,2024-07-07
2877,T052423740,28,463406,2024-08-28
2878,Q093809655,21,887112,2024-04-17
2879,U100508241,43,1380553,2024-04-08
2880,Y976742792,34,351868,2024-05-19
2881,N799018644,5,965361,2024-08-24
2882,S731438872,48,1212839,2024-08-22
2883,B448907928,3,1084717,2024-04-08
2884,U472897357,6,281985,2023-11-16
2885,Q278043142,30,975683,2024-01-20
2886,T049709082,19,554481,2024-04-30
2887,R987770609,16,104711,2024-06-09
2888,W877321569,34,710870,2023-12-08
2889,A579331434,23,48978,2024-01-13
2890,U201885664,17,789479,2023-11-22
2891,Y613189096,25,1337771,2024-06-22
2892,Q622536582,7,1078455,2024-02-09
2893,O416910393,26,1377295,2024-03-30
2894,F915269550,35,867775,2024-05-14
2895,P915230680,42,390093,2024-08-07
2896,Y997801125,39,222055,2024-01-08
2897,I827476138,37,367530,2024-06-01
2898,P598098792,18,1209918,2023-12-30
2899,Z843725805,13,431393,2023-11-22
2900,H410068328,41,22112,2024-05-19
2901,J939834447,39,830128,2023-11-29
2902,C381179644,31,59038,2024-09-26
2903,S628919592,10,1483024,2024-02-18
2904,E653453960,11,1465322,2023-11-22
2905,U074930583,30,1119408,2024-10-12
2906,J775050159,36,350658,2024-04-20
2907,H926509436,3,384855,2024-08-10
2908,H272674926,2,1052478,2024-07-13
2909,A853731535,24,209351,2024-01-12
2910,Z236608869,47,515911,2024-02-22
2911,N195409142,36,507785,2024-04-17
2912,R130582001,13,692460,2023-12-10
2913,Y210310593,39,962905,2024-06-18
2914,A062987691,49,28899,2024-07-26
2915,I410742576,35,1076231,2024-02-27
2916,H712081950,9,841857,2024-03-28
2917,Y210310593,40,127178,2024-06-17
2918,E135681803,24,103541,2023-12-09
2919,X876481205,37,997923,2024-04-25
2920,F031011946,33,700400,2023-11-23
2921,L973840961,40,1260175,2024-06-14
2922,T942942169,38,53599,2023-12-20
2923,F707428726,36,353469,2023-12-17
2924,V223762342,31,850090,2024-07-28
2925,C519832744,35,383698,2024-06-11
2926,J503687953,49,610124,2024-09-14
2927,H449829513,48,675612,2023-10-22
2928,K026812491,10,978395,2024-07-16
2929,R577312368,16,287525,2024-09-28
2930,H467769619,20,869761,2023-12-30
2931,L883051814,41,1423173,2024-09-19
2932,X720141976,2,1427189,2023-12-14
2933,Y413559622,32,1387367,2024-08-18
2934,U100508241,43,161259,2024-06-14
2935,Q458956598,15,791558,2024-07-19
2936,N983903664,9,1309391,2024-02-05
2937,C629471860,1,1276119,2023-12-17
2938,R570139158,18,436854,2024-03-16
2939,W349318845,33,1392919,2024-04-06
2940,X035994475,6,564072,2024-09-28
2941,N878402019,12,215779,2024-08-09
2942,J555913705,13,515761,2024-07-11
2943,Y891964551,48,1470869,2024-08-23
2944,U333873815,11,680378,2024-07-11
2945,C674997938,19,906817,2024-10-16
2946,K812261493,9,949865,2023-12-20
2947,P227196803,45,813575,2024-09-06
2948,K240079292,21,474408,2024-05-19
2949,E419877968,41,1404488,2024-01-22
2950,N663485347,44,333416,2024-05-13
2951,D000588739,37,134349,2024-10-15
2952,D253848129,22,1390222,2024-07-07
2953,Y983377644,30,1234373,2024-06-11
2954,B484092220,31,427363,2024-08-12
2955,U083696056,33,418471,2024-07-23
2956,U852114824,37,929948,2024-09-13
2957,L548847624,15,1427881,2024-09-17
2958,G260010171,40,68598,2024-06-18
2959,G342458673,26,765250,2024-04-08
2960,Z589790626,16,1374396,2024-04-19
2961,E760464132,33,1051693,2024-07-20
2962,T904698114,45,332699,2024-01-20
2963,J206787695,23,672694,2024-01-03
2964,Z775066846,36,162787,2023-10-21
2965,E503476561,6,320095,2024-03-11
2966,B924979543,46,1264549,2024-06-18
2967,N841925859,35,235252,2023-10-20
2968,B712590686,35,581769,2023-12-05
2969,F915269550,20,1080813,2023-10-26
2970,D291911830,35,765714,2024-02-23
2971,F268410257,34,1378339,2024-07-13
2972,R621310557,48,1452855,2024-04-13
2973,T721868476,29,383431,2024-08-22
2974,W343692157,4,601219,2024-01-25
2975,Q880755349,37,588184,2024-09-29
2976,U852114824,12,31113,2024-09-18
2977,O802154862,27,1329900,2023-12-17
2978,Q699067816,20,1050356,2024-03-31
2979,V007574432,20,1388076,2024-10-05
2980,W753704979,40,510069,2024-10-03
2981,P870300849,42,446588,2024-05-21
2982,R785463308,46,222767,2024-03-31
2983,P598098792,22,497452,2024-07-07
2984,Q580534896,31,1233028,2024-07-07
2985,G068143645,20,1363047,2024-05-13
2986,V279855121,35,668039,2023-12-26
2987,J344233673,11,667620,2023-12-24
2988,U727679669,42,902851,2024-02-07
2989,E682098546,47,1387531,2024-07-22
2990,N367730150,42,289461,2024-05-09
2991,O959834592,14,904019,2023-11-19
2992,B924979543,41,840230,2023-12-25
2993,L434499497,45,60738,2024-02-05
2994,N542134164,43,1051474,2024-05-05
2995,J648331117,8,1142512,2023-12-20
2996,C940293050,25,536944,2023-11-25
2997,I410742576,31,1468291,2024-09-29
2998,N829017635,5,663990,2024-02-26
2999,O994007940,24,874948,2024-01-11
3000,H012034781,9,253837,2024-02-27
3001,D678911092,17,289361,2024-05-07
3002,M044990311,17,715871,2023-10-30
3003,D601820325,15,1196396,2024-07-30
3004,F269340860,34,668518,2023-11-19
3005,C703205761,48,259571,2024-10-09
3006,P305890338,3,135147,2023-11-01
3007,H881283447,37,82318,2023-12-14
3008,O918508459,15,921403,2024-02-21
3009,L004773321,35,621544,2024-07-17
3010,Z453800079,6,254353,2024-03-29
3011,N704025117,4,275845,2023-12-26
3012,L129951737,15,277605,2024-01-29
3013,D334843790,4,652342,2024-04-08
3014,S944798077,35,828565,2023-12-18
3015,P367772639,37,814344,2023-12-02
3016,B373298949,33,406944,2024-02-04
3017,J775050159,38,1389841,2023-12-19
3018,S196022330,30,1084918,2024-06-22
3019,E393636788,38,1272629,2024-03-21
3020,K480847414,49,738495,2023-12-19
3021,M315379112,27,404609,2024-02-10
3022,A220319132,30,787836,2024-07-02
3023,K894039995,13,1056146,2023-12-29
3024,V273768845,42,1058716,2024-06-26
3025,N968135575,28,318268,2024-02-06
3026,W196158550,5,804890,2024-09-29
3027,Z924351832,49,1369168,2024-01-22
3028,R507837384,45,38414,2024-08-10
3029,C275461518,27,155124,2023-12-29
3030,D628422620,15,1329236,2024-04-18
3031,H226558190,22,973414,2024-07-27
3032,A166466904,17,1364862,2024-01-03
3033,C486846826,31,616984,2023-10-20
3034,M571270600,25,366903,2023-12-01
3035,M451843021,10,992448,2024-03-10
3036,A375282404,39,473702,2023-12-15
3037,D678911092,27,1264526,2023-12-22
3038,W857201084,43,434206,2024-01-22
3039,V996136611,12,1084656,2024-05-24
3040,X258798060,37,802213,2024-03-13
3041,J469084149,30,1035455,2024-04-12
3042,C164020842,45,338015,2024-09-15
3043,F816983585,3,705935,2024-10-01
3044,M273259450,22,512832,2024-06-10
3045,N851216128,6,586264,2024-08-30
3046,E230872348,41,148287,2024-09-10
3047,I222977305,45,1265269,2023-11-16
3048,F035362323,38,596181,2024-02-29
3049,M710155897,17,1237170,2024-07-24
3050,I910905766,10,368998,2024-07-29
3051,B484092220,5,1071996,2024-03-03
3052,H224677939,27,1481319,2023-12-24
3053,J988105800,22,273921,2024-09-18
3054,Z098150401,25,705703,2024-07-08
3055,R875274234,37,1321881,2024-06-11
3056,M689130696,24,611675,2024-07-04
3057,C486846826,20,76925,2024-05-19
3058,S281734366,47,424022,2023-11-29
3059,W753704979,29,257716,2024-06-03
